,,,,,,,,,,,,,,,
City_Name,FIPS_Code, Population ,Bedroom_Size,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12
"Birmingham, AL",107000," 212,021 ",_Overall,841,853,852,856,864,869,874,868,877,877,877,864
"Birmingham, AL",107000," 212,021 ",_Studio,744,754,753,758,764,768,773,768,776,776,775,764
"Birmingham, AL",107000," 212,021 ",1br,707,717,716,720,726,730,734,730,737,737,737,726
"Birmingham, AL",107000," 212,021 ",2br,832,844,843,848,855,860,865,860,868,868,868,855
"Birmingham, AL",107000," 212,021 ",3br,1087,1102,1101,1107,1117,1123,1129,1122,1134,1133,1133,1116
"Birmingham, AL",107000," 212,021 ",4br,924,937,936,941,950,955,960,954,964,964,964,949
"Hoover, AL",135896," 84,480 ",_Overall,1157,1163,1174,1178,1174,1162,1159,1163,1166,1154,1149,1149
"Hoover, AL",135896," 84,480 ",_Studio,817,821,829,832,829,821,819,822,824,815,811,811
"Hoover, AL",135896," 84,480 ",1br,971,976,985,988,985,975,972,976,978,968,964,964
"Hoover, AL",135896," 84,480 ",2br,1158,1164,1175,1179,1175,1163,1160,1164,1167,1155,1150,1150
"Hoover, AL",135896," 84,480 ",3br,1422,1429,1443,1448,1443,1429,1424,1430,1433,1418,1412,1412
"Hoover, AL",135896," 84,480 ",4br,1876,1885,1903,1909,1903,1884,1879,1885,1890,1870,1862,1862
"Huntsville, AL",137000," 193,663 ",_Overall,851,834,827,814,810,823,839,857,868,869,864,847
"Huntsville, AL",137000," 193,663 ",_Studio,637,624,619,610,607,616,629,642,650,651,647,634
"Huntsville, AL",137000," 193,663 ",1br,677,664,658,648,645,655,668,682,691,692,688,674
"Huntsville, AL",137000," 193,663 ",2br,843,827,820,807,803,816,832,849,860,862,857,839
"Huntsville, AL",137000," 193,663 ",3br,1005,985,977,962,958,973,992,1012,1026,1027,1021,1001
"Huntsville, AL",137000," 193,663 ",4br,1185,1162,1152,1134,1129,1147,1169,1194,1209,1211,1204,1180
"Mobile, AL",150000," 191,485 ",_Overall,     NA,835,     NA,     NA,833,808,840,802,787,784,808,828
"Mobile, AL",150000," 191,485 ",_Studio,     NA,669,     NA,     NA,667,647,672,642,630,628,647,662
"Mobile, AL",150000," 191,485 ",1br,     NA,643,     NA,     NA,641,622,646,617,605,603,622,637
"Mobile, AL",150000," 191,485 ",2br,     NA,840,     NA,     NA,838,813,845,807,792,789,813,833
"Mobile, AL",150000," 191,485 ",3br,     NA,1009,     NA,     NA,1007,977,1015,969,951,947,976,1000
"Mobile, AL",150000," 191,485 ",4br,     NA,1140,     NA,     NA,1138,1103,1147,1095,1074,1070,1103,1130
"Montgomery, AL",151000," 200,156 ",_Overall,944,959,957,945,935,924,917,919,919,915,908,914
"Montgomery, AL",151000," 200,156 ",_Studio,651,661,660,652,645,637,632,634,634,631,626,631
"Montgomery, AL",151000," 200,156 ",1br,738,750,748,739,731,722,717,719,719,715,710,715
"Montgomery, AL",151000," 200,156 ",2br,919,933,931,920,910,899,892,895,895,890,883,890
"Montgomery, AL",151000," 200,156 ",3br,1073,1089,1087,1073,1062,1050,1042,1044,1044,1039,1031,1039
"Montgomery, AL",151000," 200,156 ",4br,1327,1347,1344,1327,1313,1298,1288,1292,1291,1285,1275,1284
"Anchorage, AK",203000," 296,112 ",_Overall,1275,1279,1307,1297,1292,1283,1262,1261,1242,1246,1251,1266
"Anchorage, AK",203000," 296,112 ",_Studio,854,857,876,869,866,859,846,845,832,835,838,848
"Anchorage, AK",203000," 296,112 ",1br,936,939,960,952,949,942,927,926,912,915,919,930
"Anchorage, AK",203000," 296,112 ",2br,1233,1237,1264,1254,1250,1241,1221,1220,1201,1205,1210,1225
"Anchorage, AK",203000," 296,112 ",3br,1759,1764,1802,1788,1782,1769,1741,1739,1712,1719,1725,1746
"Anchorage, AK",203000," 296,112 ",4br,2132,2138,2184,2168,2160,2144,2110,2108,2075,2083,2091,2117
"Avondale, AZ",404720," 83,392 ",_Overall,1050,1076,1104,1107,1112,1097,1126,1124,1141,1137,1127,1107
"Avondale, AZ",404720," 83,392 ",_Studio,817,837,859,862,866,854,876,875,888,885,878,862
"Avondale, AZ",404720," 83,392 ",1br,847,867,890,893,897,885,908,906,920,917,909,893
"Avondale, AZ",404720," 83,392 ",2br,985,1009,1036,1039,1044,1030,1057,1055,1071,1067,1058,1039
"Avondale, AZ",404720," 83,392 ",3br,1117,1144,1174,1177,1183,1167,1197,1195,1213,1209,1199,1178
"Avondale, AZ",404720," 83,392 ",4br,1309,1340,1376,1380,1386,1367,1403,1401,1422,1417,1405,1380
"Chandler, AZ",412000," 248,631 ",_Overall,1241,1250,1259,1261,1262,1273,1277,1298,1310,1327,1319,1311
"Chandler, AZ",412000," 248,631 ",_Studio,942,949,956,957,958,967,970,985,994,1008,1001,995
